Código de Conexión,Equipo,Tipo de la observación,Fecha de la Observación,Código de la observación,Lectura de contador,Toda la lectura de contador del tiempo,Edad componente,Intervalo de la observación,días,Valoración de la Observación,Grado de Trakka,Edad del lubricante,Uso,Lubricante drenado,Agredado,Valoración del Estado Asignada,Notas sobre la Revisión del Estado,Otras recomendaciones,Efecto de Falla,Revisado,Revisor,Resumen de la Acción,Boro (ppm),Calcio (ppm),Cinc (ppm),Fosforado (ppm),Magnesio (ppm),Molibdeno (ppm),Agua (%),Nitración JOAP (Abs/cm),Oxidación JOAP (Abs/cm),Silicio (ppm),Sodio (ppm),Sulfatación JOAP (Abs/cm),Viscosidad @ 100°C (cSt),ISO 4406:1999 > 04µ,ISO 4406:1999 > 06µ,ISO 4406:1999 > 14µ,Aluminio (ppm),Cobre (ppm),Cromo (ppm),Hierro (ppm),Plomo (ppm),Bario (ppm),Cadmio (ppm),Estaño (ppm),Niquel (ppm),Fecha Calculada,Año,Mes,Flota
0060144 ZSHI,60144,Análisis flúido,13/01/2023,0060144 ZSHI 20230113,"8036,75","8055,95","8055,95","418,2",26,Crítico,Crítico,,,No,0,Crítico,"Se encuentra orden 00996862, se realiza en parada anual.",,Altos metales de desgaste,19/01/2023 11:57:32 a. m.,fpertuz,,,"71,87","383,27","272,33",,"0,59",,,,"5,8",,,"9,002",22,20,17,"1,93","18,96","0,3","9,31","0,18",,,,,13/01/2023,2023,01,EX3600
0060144 ZSHI,60144,Análisis flúido,18/12/2022,0060144 ZSHI 20221218,"7618,55","7637,75","7637,75",56,3,Crítico,Crítico,,,No,0,Crítico,Los predictores de cobre se encuentran en critico.     ,"1. Inspeccionar fuentes de desgaste anormal, revise alarmas de contaminación del equipo y tiempos de ciclo por movimiento, medición de parámetros de componentes hidráulicos.  2. Verifique las presiones de drenaje de todos los componentes del sistema (Bombas y motores).  3. Programar el cambio de toda la filtración y toma de contra-muestra de aceite.  4. Cambie los desfogues del tanque hidráulico.  5. Cambie los filtros del sistema (By pass, drenaje, flujo pleno y alta eficiencia)  ",Altos metales de desgaste,29/12/2022 8:06:50 a. m.,fpertuz,Acción: Cambiar los filtros (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2023-01-22 17:19:39 por cerrejon_web_service:    Cierre de notas en 2024-04-08 08:41:02 por etorres4:  SE CIERRA  POR MEJORIA EN EL COMPONENTE     Acción: Tomar muestra de aceite (Prioridad: 3 - Acción en el siguiente Servicio (Máximo 21 días))  Situación: Closed  Realización de Notas en 2023-01-22 17:19:40 por cerrejon_web_service:    Cierre de notas en 2024-04-08 08:41:02 por etorres4:  SE CIERRA  POR MEJORIA EN EL COMPONENTE     ,,"77,14","354,38","322,62",,0,,,,"4,07",,,"9,077",20,18,14,"1,75","16,91","0,32",6,"0,03",,,,,18/12/2022,2022,12,EX3600
0060144 ZSHI,60144,Análisis flúido,15/12/2022,0060144 ZSHI 20221215,"7562,55","7581,75","7581,75","455,4",33,Crítico,Crítico,,,No,0,Crítico,"Predictor de cobre en critico, se abrira OT por cambio de filtracion. ",,Altos metales de desgaste,29/12/2022 8:08:28 a. m.,fpertuz,,,"67,6","333,83","285,69",,"0,45",,,,"3,5",,,"8,93",18,17,13,"1,77","17,06","0,24","5,79","0,14",,,,,15/12/2022,2022,12,EX3600
0060144 ZSHI,60144,Análisis flúido,12/11/2022,0060144 ZSHI 20221112,"7107,15","7126,35","7126,35","609,19",51,Crítico,Crítico,,,No,0,Normal,"Monitoriar comportamiento, alteraciones del Cu por combinaciones de fluido. Se mantiene en seguimiento.",,Alto conteo de partículas,21/11/2022 9:59:36 a. m.,fpertuz,,,"72,07","389,04","291,74",,"0,25",,,,"2,16",,,"9,007",18,16,13,"1,21","16,46","0,18","3,78","0,25",,,,,12/11/2022,2022,11,EX3600
0060144 ZSHI,60144,Análisis flúido,22/09/2022,0060144 ZSHI 20220922,"6517,16","6517,16","6517,16","323,61",35,Crítico,Crítico,,,No,0,Normal,"Monitoriar comportamiento, alteraciones del Cu por combinaciones de fluido",,Ninguna falla identificada,29/09/2022 10:43:24 a. m.,fpertuz,,,"82,29","330,29","316,25",,0,,,,"2,61",,,"8,96",18,17,13,"0,79","18,93","0,21","1,64",0,,,,,22/09/2022,2022,09,EX3600
0060144 ZSHI,60144,Análisis flúido,18/08/2022,0060144 ZSHI 20220818,"6193,55","6193,55","6193,55","650,03",46,Crítico,Crítico,,,No,0,Normal,"Monitoriar comportamiento, alteraciones del Cu por combinaciones de fluido",,Ninguna falla identificada,26/08/2022 8:27:17 a. m.,fpertuz,,,"77,71","309,36","294,43",,0,,,,"1,83",,,"9,06",19,18,14,"1,11","23,13","0,26","1,76","0,95",,,,,18/08/2022,2022,08,EX3600
0060144 ZSHI,60144,Análisis flúido,3/07/2022,0060144 ZSHI 20220703,"5543,52","5543,52","5543,52","655,79",49,Crítico,Crítico,,,No,0,Advertencia,"Combinación de aceites, mantendremos seguimiento a las muestras y mantendremos cambio de filtración bajo rutina convencional de Seis.",,Alto conteo de partículas,10/07/2022 6:02:40 p. m.,fpertuz,,,"46,2","356,28","233,65",,0,,,,"1,48",,,"8,78",18,16,12,"0,55","30,94",0,"1,51","0,24",,,,,3/07/2022,2022,07,EX3600
0060144 ZSHI,60144,Análisis flúido,15/05/2022,0060144 ZSHI 20220515,"4887,73","4887,73","4887,73","294,51",19,Advertencia,Normal,,,No,0,Normal,"Componente en buenas condiciones, puede operar con normalidad.",,Ninguna falla identificada,22/05/2022 6:36:54 p. m.,fpertuz,,,"36,96","355,74","266,79",,0,,,,"0,42",,,"8,9",21,19,17,0,"0,05","0,04","0,11","0,14",,,,,15/05/2022,2022,05,EX3600
0060144 ZSHI,60144,Análisis flúido,26/04/2022,0060144 ZSHI 20220426,"4593,22","4593,22","4593,22","577,55",38,Crítico,Crítico,,,No,0,Advertencia,"Combinación de aceites, mantendremos seguimiento a las muestras y mantendremos cambio de filtración bajo rutina convencional de Seis.",,Fluido incorrecto,1/05/2022 8:21:58 p. m.,fpertuz,,,"40,54","331,44","241,68",,0,,,,"0,88",,,"8,704",17,16,13,"0,4","44,86",0,2,0,,,,,26/04/2022,2022,04,EX3600
0060144 ZSHI,60144,Análisis flúido,19/03/2022,0060144 ZSHI 20220319,"4015,67","4015,67","4015,67","350,46",20,Crítico,Crítico,,,No,0,Advertencia,"Combinacion del aceite, haremos monitorio con cambiod e filtracion por frecuencia y los cambios de aceite por VME",,Alto conteo de partículas,22/03/2022 12:27:06 a. m.,fpertuz,,,"25,67","305,2","262,88",,0,,,,"0,06",,,"8,854",17,16,12,0,"63,81","0,03",0,0,,,,,19/03/2022,2022,03,EX3600
0060144 ZSHI,60144,Análisis flúido,27/02/2022,0060144 ZSHI 20220227,"3665,21","3665,21","3665,21","665,59",39,Crítico,Crítico,,,No,0,Advertencia,"Combinación de aceites, mantendremos seguimiento a las muestras y mantendremos cambio de filtración bajo rutina convencional de Seis.",,Alto conteo de partículas,6/03/2022 9:51:50 p. m.,fpertuz,,,"21,39","253,38","257,63",,0,,,,"0,68",,,"8,682",21,18,15,"0,52","118,91",0,1,"1,6",,,,,27/02/2022,2022,02,EX3600
0060144 ZSHI,60144,Análisis flúido,19/01/2022,0060144 ZSHI 20220119,"2999,62","2999,62","2999,62","682,94",39,Crítico,Crítico,,,No,0,Advertencia,YTa se tiene OT por frecuencia para el cmabiod el acetie en proxima parada por combinacion con Ex46,,Alto conteo de partículas,23/01/2022 9:13:27 p. m.,fpertuz,,,"3,45","228,45","286,89",,0,,,,"0,79",,,"8,655",19,17,14,"0,24","167,06",0,1,"0,22",,,,,19/01/2022,2022,01,EX3600
0060144 ZSHI,60144,Análisis flúido,11/12/2021,0060144 ZSHI 20211211,"2316,68","2316,68","2316,68","942,3",62,Crítico,Crítico,,,No,0,Advertencia,Ya tiene una OT para primer cambio de aceite en la proxima parada programada,,Ninguna falla identificada,19/12/2021 9:39:21 p. m.,fpertuz,,,"8,71","282,26","252,31",,0,,,,"0,62",,,"8,686",18,17,13,"0,21","154,47",0,"0,47","0,17",,,,,11/12/2021,2021,12,EX3600
0060144 ZSHI,60144,Análisis flúido,10/10/2021,0060144 ZSHI 20211010,"1374,38","1374,38","1374,38","563,14",34,Crítico,Crítico,,,No,0,Advertencia,Se programara el cambio de aceite hidraulico en rutina de 4000 ya que tiene mezcla con ISO46,,Deterioro de la condición del fluido,19/10/2021 12:08:59 a. m.,fpertuz,,,"19,17","332,15","280,82",,"0,44",,,,"1,76",,,"8,654",21,19,16,"0,72","149,72",0,1,"0,46",,,,,10/10/2021,2021,10,EX3600
0060144 ZSHI,60144,Análisis flúido,6/09/2021,0060144 ZSHI 20210906,"811,24","811,24","811,24","689,5",47,Crítico,Crítico,,,No,0,Advertencia,Se tiene una OT P4 en seguimiento hasta la rutina de 2000,,Ninguna falla identificada,8/09/2021 4:17:30 p. m.,fpertuz,,,"18,18","328,54","363,52",,"0,04",,,,"0,51",,,"8,488",19,18,13,"0,16","174,92",0,0,0,,,,,6/09/2021,2021,09,EX3600
0060144 ZSHI,60144,Análisis flúido,21/07/2021,0060144 ZSHI 20210721,"121,74","121,74","121,74",,,Crítico,Crítico,,,No,0,Advertencia,"Con este equipo si bien no muestra en el sistema hidráulico un aumento en el ISO tiene las partículas de cobre en crítico, el calcio y el zinc en advertencia indicando que hay mezcla en el aceite y desgaste acelerado de los componentes del sistema hidráulico.","Drenar  el aceite del tanque y los enfriadores del sistema hidráulico    Cambie todos los filtros de by pass, flujo pleno, pilotaje y alta eficiencia.    Prender el equipo 45 minutos y hacer pruebas de rendimiento con el fin de que circule el aceite hidráulico     Drenar nuevamente el tanque y los enfriadores del sistema    Cambie todos los filtros de by pass, flujo pleno, pilotaje y alta eficiencia.    Prender el equipo 45 minutos y hacer pruebas de rendimiento con el fin de que circule el aceite hidráulico     Tomar contra muestra del aceite y efectuar monitoreo hasta que salgan los resultados de la muestra para verificar evolución de predictores",Lixiviación química,13/08/2021 9:10:45 a. m.,JCamargo,"Acción: Cambiar aceite (Prioridad: 4 - Acción requerida por disponibilidad (Máximo 90 día)  Situación: Closed  Realización de Notas en 2021-08-16 12:07:19 por cerrejon_web_service:  A.  Qu% encontr% al hacer el diagn%stico de la falla? (Parte, Modo)  SISTEMA HIDRAULICO (TRAKKA)  B.  Qu% trabajo se realiz%?  SISTEMA HIDRAULICO (TRAKKA)  C.  Cu%l fue la causa oposible causa de la falla? PARADA PROGRAMADA  D.  Qu% desvi    Cierre de notas en 2024-04-05 14:52:46 por etorres4:  CIERRE MASIVO DE ORDENES     ",,"25,15","273,95","305,64",,"0,37",,,,"0,31",,,"8,43",19,17,12,"0,14","28,14","0,01",1,"0,15",,,,,21/07/2021,2021,07,EX3600
0060145 ZSHI,60145,Análisis flúido,6/08/2026,0060145 ZSHI 20260806,"18901,98","21383,08","18901,98","550,5",31,Normal,Crítico,,,No,0,Crítico,"  Los predictores del codigo ISO de limpieza estan en rango de critico .  Asistente, abre una OT tipo TR P1 con las siguientes recomendaciones   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,,10/08/2026 1:14:06 p. m.,jbenitez2,,,"56,25","26,17","123,17",,"0,28",,,,"5,82",,,"9,7",24,22,19,"3,04","0,55","0,11","16,86",0,,,,,6/08/2026,2026,08,EX3600
0060145 ZSHI,60145,Análisis flúido,6/07/2026,0060145 ZSHI 20260706,"18351,48","20832,58","18351,48",463,25,Normal,Crítico,,,No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones y enventanarla el 27/7/2026   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Entrada de polvo,14/07/2026 11:04:42 a. m.,jbenitez2,,,"29,75","2,14","89,23",,"0,31",,2,21,"0,11",,28,"11,18",22,20,17,"0,35",0,0,"0,22",0,,,,,6/07/2026,2026,07,EX3600
0060145 ZSHI,60145,Análisis flúido,11/06/2026,0060145 ZSHI 20260611,"17888,48","20369,58","17888,48","270,7",22,Normal,Crítico,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,17/06/2026 10:14:34 a. m.,jbenitez2,,,"51,05","8,42","79,24",,"0,21",,3,22,"2,55",,28,"9,87",18,16,9,"2,27","0,54","0,14","10,86",0,,,,,11/06/2026,2026,06,EX3600
0060145 ZSHI,60145,Análisis flúido,20/05/2026,0060145 ZSHI 20260520,"17617,78","20098,88","17617,78","629,7",40,Normal,Crítico,,,No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.  Asistente, abre una OT tipo TR P2 con las siguientes recomendaciones   1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia).",,Alto conteo de partículas,27/05/2026 8:20:20 a. m.,jbenitez2,,,"80,95","17,27","129,6",,"2,74",,3,22,"3,61",,28,"10,15",21,19,16,"2,01","0,72","0,12","11,69",0,,,,,20/05/2026,2026,05,EX3600
0060145 ZSHI,60145,Análisis flúido,10/04/2026,0060145 ZSHI 20260410,"16988,08","19469,18","16988,08","515,8",28,Normal,Crítico,,,No,0,Normal,"ACTUALMENTE SE LE ESTA CAMBIANDO  FILTROS , SE TOMARA CONTRAMUESTRA",,Ninguna falla identificada,13/04/2026 10:51:25 a. m.,jbenitez2,,,"71,32","30,69","92,55",,"0,6",,3,22,"4,42",,28,"9,72",21,19,16,"3,48","0,83","0,22","19,12",0,,,,,10/04/2026,2026,04,EX3600
0060145 ZSHI,60145,Análisis flúido,13/03/2026,0060145 ZSHI 20260313,"16472,28","18953,38","16472,28","585,9",31,Normal,Crítico,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,16/03/2026 10:07:23 a. m.,jbenitez2,,,"72,23","47,46","130,66",,"0,39",,3,22,"4,51",,28,"9,74",18,16,13,"3,1","0,81","0,12","17,66","0,22",,,,,13/03/2026,2026,03,EX3600
0060145 ZSHI,60145,Análisis flúido,10/02/2026,0060145 ZSHI 20260210,"15886,38","18367,48","15886,38","505,6",28,Normal,Crítico,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,13/02/2026 8:35:11 a. m.,jbenitez2,,,"57,75","35,19","117,19",,"0,46",,3,22,"3,55",,28,"9,83",19,17,13,"2,87","0,82","0,19","14,63","0,1",,,,,10/02/2026,2026,02,EX3600
0060145 ZSHI,60145,Análisis flúido,13/01/2026,0060145 ZSHI 20260113,"15380,78","17861,88","15380,78","607,3",37,Normal,Crítico,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.",,Ninguna falla identificada,19/01/2026 10:49:27 a. m.,jbenitez2,,,"55,66","31,25","113,21",,"0,56",,,,"3,52",,,,18,17,14,"2,26","0,78","0,06","13,37","0,27",,,,,13/01/2026,2026,01,EX3600
0060145 ZSHI,60145,Análisis flúido,7/12/2025,0060145 ZSHI 20251207,"14773,48","17254,58","14773,48",352,20,Normal,Crítico,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,10/12/2025 11:15:14 a. m.,jbenitez2,,,"71,1","46,9","245,71",,0,,,,"4,08",,,"9,88",16,15,11,"1,71","1,1","0,11","13,07","0,27",,,,,7/12/2025,2025,12,EX3600
0060145 ZSHI,60145,Análisis flúido,17/11/2025,0060145 ZSHI 20251117,"14421,48","16902,58","14421,48","112,9",6,Normal,Crítico,,,No,0,Normal,SEGUIR OPERANDO ,,Ninguna falla identificada,29/12/2025 1:49:07 p. m.,jbenitez2,,,"72,16","51,38","246,81",,0,,,,"4,49",,,"10,177",23,21,18,"1,94","1,25","0,07","12,36",0,,,,,17/11/2025,2025,11,EX3600
0060145 ZSHI,60145,Análisis flúido,11/11/2025,0060145 ZSHI 20251111,"14308,58","16789,68","14308,58","682,4",39,Normal,Normal,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,15/11/2025 8:23:26 p. m.,sysadmin,,,,,,,,,,,,,,,17,16,11,,,,,,,,,,11/11/2025,2025,11,EX3600
0060145 ZSHI,60145,Análisis flúido,3/10/2025,0060145 ZSHI 20251003,"13626,18","16107,28","13626,18","29,3",4,Normal,Crítico,,,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,Ninguna falla identificada,14/10/2025 2:06:56 p. m.,jbenitez2,,,"73,61","29,59","121,34",,"0,22",,2,21,"2,55",,28,"10,019",18,16,11,"0,56","1,45","0,03","6,38",0,,,,,3/10/2025,2025,10,EX3600
0060145 ZSHI,60145,Análisis flúido,29/09/2025,0060145 ZSHI 20250929,"13596,88","16077,98","13596,88","421,8",25,Normal,Crítico,,,No,0,Advertencia,SE LE TOMO UNA CONRAMUESTRA PARA VERIFICAR TENDENCIA,,Ninguna falla identificada,20/10/2025 11:34:23 a. m.,jbenitez2,,,"74,14","30,06","122,5",,"1,05",,2,21,"5,46",,28,"10,082",23,21,17,"1,38","1,47","0,06","6,6",0,,,,,29/09/2025,2025,09,EX3600
0060145 ZSHI,60145,Análisis flúido,4/09/2025,0060145 ZSHI 20250904,"13175,08","15656,18","13175,08","423,8",36,Normal,Crítico,,,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,Ninguna falla identificada,7/10/2025 9:38:13 a. m.,jbenitez2,,,"65,24","28,34","131,12",,0,,,,"2,41",,,"9,73",20,18,14,"0,99","1,05","0,03","5,44","0,16",,,,,4/09/2025,2025,09,EX3600
0060145 ZSHI,60145,Análisis flúido,30/07/2025,0060145 ZSHI 20250730,"12751,28","15232,38","12751,28","297,1",15,Normal,Crítico,,,No,0,Normal,"SE LE CAMBIARA ACEITE EN PARADA ANUAL , PROXIMO A ENTRAR",,Ninguna falla identificada,4/08/2025 9:53:06 a. m.,jbenitez2,,,"72,65","39,91","111,55",,"0,53",,,,"8,08",,,"9,71",24,23,20,"2,84","0,67","0,19","19,63","0,63",,,,,30/07/2025,2025,07,EX3600
0060145 ZSHI,60145,Análisis flúido,15/07/2025,0060145 ZSHI 20250715,"12454,18","14935,28","12454,18",421,24,Normal,Crítico,,,No,0,Advertencia,EQUIPO A ENTRAR PROXIMO A PARADA ANUAL SE LE CAMBIARA SU ACEITE HIDRAULICO,,Ninguna falla identificada,18/07/2025 1:04:11 p. m.,jbenitez2,,,"78,88","19,62","77,18",,0,,3,22,5,,27,"9,72",21,20,17,"2,53","0,63","0,17","15,83","0,88",,,,,15/07/2025,2025,07,EX3600
0060145 ZSHI,60145,Análisis flúido,21/06/2025,0060145 ZSHI 20250621,"12033,18","14514,28","12033,18","523,6",31,Normal,Crítico,,,No,0,Advertencia,"el predictor del cinc y viscosidad se encuentra en critico  Asistente, abre una OT tipo TR con P3 enventanarlo el dia 7/7/2025  y las siguientes recomendaciones:  1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  ",,Ninguna falla identificada,25/06/2025 9:37:30 a. m.,jbenitez2,,,"92,45","29,55","89,95",,0,,,,"4,64",,,"9,8",17,16,13,"2,72","0,75","0,2","13,9",0,,,,,21/06/2025,2025,06,EX3600
0060145 ZSHI,60145,Análisis flúido,21/05/2025,0060145 ZSHI 20250521,"11509,58","13990,68","11509,58","335,4",34,Normal,Crítico,,,No,0,Advertencia,"Los predictores del codigo ISO de limpieza estan en rango de advertencia.    Asistente, abre una OT tipo TR P3  envetanarla el dia 3/6/2025 con las siguientes recomendaciones.    1.  Cambie los desfogues del tanque hidráulico.  2. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  ",,Ninguna falla identificada,26/05/2025 2:37:37 p. m.,jbenitez2,,,"68,92","9,32","38,91",,0,,2,21,"5,05",,28,"11,046",20,18,14,"0,62",0,0,"0,43","0,62",,,,,21/05/2025,2025,05,EX3600
0060145 ZSHI,60145,Análisis flúido,17/04/2025,0060145 ZSHI 20250417,"11174,18","13655,28","11174,18","419,7",24,Normal,Crítico,,,No,0,Normal,SE TENDRA EN BAJO MONITOREO,,Ninguna falla identificada,28/04/2025 3:23:50 p. m.,jbenitez2,,,"54,17","16,72","113,81",,"0,58",,,,"4,33",,,"9,81",17,16,12,"2,6","0,58","0,08","14,55",0,,,,,17/04/2025,2025,04,EX3600
0060145 ZSHI,60145,Análisis flúido,24/03/2025,0060145 ZSHI 20250324,"10754,48","13235,58","10754,48","487,7",29,Normal,Crítico,,,No,0,Normal,SE TENDRA EN BAJO MONITOREO,,Ninguna falla identificada,28/04/2025 2:48:27 p. m.,jbenitez2,,,"54,87","15,33","100,42",,0,,3,21,"3,88",,27,"9,8",18,16,11,"1,87","0,34","0,07","9,91","0,53",,,,,24/03/2025,2025,03,EX3600
0060145 ZSHI,60145,Análisis flúido,23/02/2025,0060145 ZSHI 20250223,"10266,78","12747,88","10266,78","857,7",48,Normal,Crítico,,,No,0,Normal,"EQUIPO EN PARAMETROS NORMALES , SE TENDRA BAJO MONITOREO.",,Ninguna falla identificada,28/04/2025 2:58:01 p. m.,jbenitez2,,,"72,3","19,38","123,49",,0,,,,"4,58",,,,18,17,13,"1,52","0,5","0,1","10,21","0,6",,,,,23/02/2025,2025,02,EX3600
0060145 ZSHI,60145,Análisis flúido,6/01/2025,0060145 ZSHI 20250106,"9409,08","11890,18","9409,08","363,5",23,Normal,Crítico,,,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,Ninguna falla identificada,21/01/2025 4:17:12 p. m.,lrodriguez,,,"76,56","19,27","89,54",,0,,,,"2,76",,,"9,9",19,17,14,"1,9","0,48","0,09","9,17",0,,,,,6/01/2025,2025,01,EX3600
0060145 ZSHI,60145,Análisis flúido,14/12/2024,0060145 ZSHI 20241214,"9045,58","11526,68","9045,58","103,5",9,Normal,Crítico,,,No,0,Advertencia,"Filtracion programada para cambiar en PM de 2000, y las tapas de los desfogues se cambiaron por estar averiadas.",,Entrada de polvo,20/12/2024 1:39:13 p. m.,lrodriguez,,,"56,06","14,91","85,03",,0,,,,"3,11",,,"9,74",22,21,17,"1,27","0,42","0,05","8,08","0,51",,,,,14/12/2024,2024,12,EX3600
0060145 ZSHI,60145,Análisis flúido,5/12/2024,0060145 ZSHI 20241205,"8942,08","11423,18","8942,08","357,6",27,Normal,Crítico,,,No,0,Advertencia,Cambiar filtracion hidraulica y tapas del tanque hco por ingreso de polvo,,Entrada de polvo,20/12/2024 1:30:55 p. m.,lrodriguez,,,1765,1601,1183,,"73,16",,,,"3,32",,,"11,736",21,19,15,"0,84","0,37","0,01","5,19","0,36",,,,,5/12/2024,2024,12,EX3600
0060145 ZSHI,60145,Análisis flúido,8/11/2024,0060145 ZSHI 20241108,"8584,48","11065,58","8584,48","618,9",48,Normal,Crítico,,,No,0,Advertencia,"Los predictores de hierro, silice y codigo de limpieza ISO se encuentran de advertencia.    Asistente abrir una OT tipo TRAKKA con las siguientes instrucciones:    1.  Inspeccione fuentes de desgaste anormal, revise alarmas de contaminación del equipo y tiempos de ciclo por movimiento, medición de parámetros de componentes hidráulicos.  2. Verifique las presiones de drenaje de todos los componentes del sistema (Bombas y motores)  3. Inspeccione condiciones en los motores hidraulicos de enfriamiento de refrigerante e hidraulico, tome las temperaturas de cada motor por separado.  4. Cambie los desfogues del tanque hidráulico.  5. Cambie los filtros del sistema (By pass, flujo pleno, piloto, drenaje y alta eficiencia)  6. Corte el filtro de drenaje y verifique presencia de particulas metalicas.  ",,Entrada de polvo,1/12/2024 10:01:09 p. m.,lrodriguez,Acción: Cambiar los filtros (Prioridad: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Situación: Recommended      ,,"76,36","63,75","112,97",,"0,04",,,,"11,12",,,"9,9",26,25,21,"1,99","0,36",0,"40,37","0,69",,,,,8/11/2024,2024,11,EX3600
0060145 ZSHI,60145,Análisis flúido,21/09/2024,0060145 ZSHI 20240921,"7965,58","10446,68","7965,58","936,6",65,Normal,Advertencia,,,No,0,Advertencia,"Los conteos de partículas son ligeramente elevados, sin embargo mínimos. Teniendo en cuenta que todos los otros predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  Particle counts are slightly elevated, However minimal. Considering all other predictors remain within acceptable limits, continue to monitor closely.  ",,Alto conteo de partículas,23/09/2024 9:43:29 p. m.,sysadmin,,,"47,94","26,72","117,74",,"0,35",,,,"4,57",,,"9,16",21,19,14,"1,3","0,37","0,14","13,06",0,,,,,21/09/2024,2024,09,EX3600
0060145 ZSHI,60145,Análisis flúido,18/07/2024,0060145 ZSHI 20240718,"7028,98","9510,08","7028,98","374,9",24,Normal,Normal,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,20/07/2024 9:31:18 p. m.,sysadmin,,,"58,31","22,6","128,72",,0,,,,"3,43",,,,18,17,13,"1,25","0,56","0,11","10,31",0,,,,,18/07/2024,2024,07,EX3600
0060145 ZSHI,60145,Análisis flúido,24/06/2024,0060145 ZSHI 20240624,"6654,08","9135,18","6654,08","127,7",8,Normal,Normal,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,28/06/2024 8:15:50 a. m.,fpertuz,,,"54,57","21,75","149,01",,0,,,,"3,6",,,,18,16,12,"1,26","0,56","0,17","8,17",0,,,,,24/06/2024,2024,06,EX3600
0060145 ZSHI,60145,Análisis flúido,16/06/2024,0060145 ZSHI 20240616,"6526,38","9007,48","6526,38","705,7",52,Normal,Advertencia,,,No,0,Advertencia,"Los conteos de partículas son ligeramente elevados, sin embargo mínimos. Teniendo en cuenta que todos los otros predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  Particle counts are slightly elevated, However minimal. Considering all other predictors remain within acceptable limits, continue to monitor closely.  ",,Alto conteo de partículas,18/06/2024 4:45:25 p. m.,sysadmin,,,"73,05","17,59","123,97",,"2,57",,,,"1,73",,,,23,20,16,0,"0,14","0,12","0,27",0,,,,,16/06/2024,2024,06,EX3600
0060145 ZSHI,60145,Análisis flúido,25/04/2024,0060145 ZSHI 20240425,"5820,68","8301,78","5820,68","129,2",8,Normal,Advertencia,,,No,0,Normal,"Predictores dentro de rango, operar sin problemas.",,Ninguna falla identificada,6/05/2024 10:23:05 a. m.,lrodriguez,,,"45,73","18,3","162,32",,0,,,,"1,84",,,"7,5",17,15,12,"0,75","0,28",0,"5,02",0,,,,,25/04/2024,2024,04,EX3600
0060145 ZSHI,60145,Análisis flúido,17/04/2024,0060145 ZSHI 20240417,"5691,48","8172,58","5691,48",165,11,Normal,Normal,,,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,Ninguna falla identificada,23/04/2024 9:37:17 p. m.,sysadmin,,,"38,38","9,08","179,32",,0,,,,"3,3",,,"8,2",20,18,15,"0,94","0,34","0,37","4,66",0,,,,,17/04/2024,2024,04,EX3600
